SourceKey,Key,Text,Label
576513463738109954,576611747982897152,@MailOnline Lol coup? That's when you know you people are just making things up. #westernfantasy,0.0
576513463738109954,576530311149932544,@MailOnline haha all he wanted was a week off! #putindead,3.0
576513463738109954,576514586087714817,@MailOnline https://t.co/ilnwXdZ6Pc,3.0
576513463738109954,576526712940310528,@MailOnline whole lot of talk. He was probably on a hunting trip,3.0
576513463738109954,576516280431337472,@MailOnline selling inbetweeners 2 car for comic relief please rt!! http://t.co/JtIMoAbSAK? #RND #rednoseday,3.0
576513463738109954,576517854268403713,"@MailOnline that looks like a double to me, dear.",0.0
576513463738109954,576513717212442625,@MailOnline never !!,0.0
576812998418939904,576813964375523328,@ConorMWalsh 😂😂😂 @Scofield_Fx,3.0
576812998418939904,576813541736517634,@maNkomo16 @Scofield_Fx Mazaltov!  They could call the baby Ukrainia.,0.0
576276947648405505,576281472778182656,So if #RamzanKadyrov had #BorisNemtsov assassinated was it at the direction of Putin or is/was Putin at the direction of FSB/Kadyrov? Hmm,0.0
576276947648405505,576278902185705472,"#RamzanKadyrov- A Sunni Muslim Russian/Chechen Ultranationalist w/ ties to the ""United Russia"" party(Putinism) &amp; #Russia's FSB(current KGB).",1.0
576276947648405505,576279839205818368,"US Embassy #Moscow cables talk of an operation planned by ""dissidents"" in #Russia to ""overthrow Putin"". http://t.co/hCW0JuZDLk #RussiaCoup",0.0
576323086888361984,576327374628917248,"@BBCDanielS @EllenBarryNYT Well, Blick is a tabloid, so I wouldn't necessarily believe everything they say :-)",0.0
576323086888361984,576348301940932608,"@BBCDanielS It is difficult not to think of ""Rosemary's Baby"" in this instance.",3.0
576323086888361984,576324320735178752,@BBCDanielS But why a Swiss clinic? Why not give birth in Russia? What am I missing here?,2.0
576323086888361984,576435146632605696,"@BBCDanielS 
What makes us think the baby story may be true? - The Kremlin denied it!

@RussiaDenies @DarthPutinKGB http://t.co/d3ULIqK5PK",0.0
576323086888361984,576323996028952576,@BBCDanielS plus direct info from the 'fields'!,3.0
577258317942149120,577283431089901568,@PatOndabak It is disconcerting that the man with the codes to the worlds largest nuclear arsenal is missing. I suspect an unhappy oligarch.,3.0
577258317942149120,577284294051123201,"@patondabak Maybe, just maybe… he's huddling with best minds/top advisors about how to prevent #USA #UK #NATO #EU #Canada threat of WWIII ?",3.0
577258317942149120,577282462788677634,@PatOndabak or maybe he just needs a break from all the shit going on in this world.. I know I do!,3.0
577258317942149120,577287160329465856,"@PatOndabak 
Putin has gone 1 better
Behold the Russian secure office
Actor portrayed even
https://t.co/NUsIlGWg02",3.0
577258317942149120,577260238316830721,@PatOndabak I'm going with neutralized and their entire gov aQuake &amp; pissing selves w fear. Night of long knives gonna take months ;o))),3.0
576796432730071040,576797334530580480,@ShaunyNews @batchelorshow Did he die during Childbirth?,3.0
576796432730071040,576801654118428672,@haaker66 @batchelorshow Military Coup to overthrow Putin my 1st thought buddy. Serious rumours Putin is Dead or Critical. Trying 2 source,3.0
576796432730071040,576798090155450368,@AdaptToReality @batchelorshow Yeah,0.0
576796432730071040,576800982471962624,@ShaunyNews @batchelorshow Hopefully he got hold of some American CIA provocateurs and sabatoger's in Moscow red handed for killing Nemtsov.,3.0
576796432730071040,576809948425940992,"@TAW3333 Emm I never, I tagged the user. Not my video's Grace. I am ""ShaunyNews"" I share news. I am just sharing what I am being sent.",0.0
576796432730071040,576807061830287360,@ShaunyNews hey loved those cool utube vids you put together!,3.0
576796432730071040,576809682947448832,"@captaincorri Many sources and you tube...  Where is Vladimir Putin? 

http://t.co/EU3eKqo9zS Latest one. All links are in both articles",3.0
576796432730071040,576798270518894592,"@AdaptToReality @batchelorshow Keep in mind ""Unconfirmed"" Rumours...I stated nothing. But I am on the edge of my seat awaiting a call",1.0
576796432730071040,576801998739230720,@ShaunyNews where you getting the rumours from,2.0
576829262927413248,576830686713217024,@andersostlund @CoalsonR @RFERL And how Europe will behave in such a case?,1.0
576829262927413248,576893187962224640,@andersostlund @tulipgrrl 😷,1.0
576829262927413248,576847084579618816,"@tulipgrrl Either a simple flue, more serious illness or serious domestic political problems.",3.0
576829262927413248,576848493337296896,@andersostlund @tulipgrrl @CoalsonR @RFERL Putin'll be made a tsar (and the newborn an heir). Back 2 serfdom as Zorkin suggested.,3.0
576829262927413248,576830316372996096,@andersostlund @CoalsonR @RFERL uhmmm botox sesions far more likely anyway,3.0
576829262927413248,576833135326961664,Three Scenarios For A Succession In #Russia by @CoalsonR http://t.co/OqBqhFdKYk via @RFERL http://t.co/YE63oCPWNu v @andersostlund #Putin,3.0
576829262927413248,576846509632798720,@andersostlund What are your thoughts on #WhereIsPutin?,2.0
576755174531862529,576756801045139457,"@irishspy Russian Emb denies. RT @RussianEmbassy  13 min
@Marcus_Reynolds This is not true.// I have more time for speculation@jimgeraghty",1.0
576755174531862529,576758668026245120,@irishspy @jimgeraghty Or preparing to launch yet another war?,2.0
576755174531862529,576755963597746176,@irishspy @jimgeraghty Reset.,3.0
576755174531862529,576757065089159169,@karmacamilleon1 The meme makers are letting us down on this! We should see that red button ! // @irishspy @jimgeraghty,3.0
576755174531862529,576756436321071104,@karmacamilleon1 @irishspy @jimgeraghty http://t.co/gn4UKTqXJj,3.0
576319832800555008,576321273594294272,@russian_market @L0gg0l Mr Putin building the nation is great. Good country man and best president,3.0
576319832800555008,576342675290497024,@russian_market @L0gg0l Makes no sense though. Why go to Switzerland for that? Too much hassle.,3.0
576319832800555008,576324695420743680,"@russian_market @L0gg0l of course,keep dreaming",3.0
576319832800555008,576330432750440448,@russian_market @L0gg0l At least its not Merkel so we would have a problem.,3.0
576319832800555008,576327925869506560,"@russian_market have you read this? http://t.co/p5s1UG5B9G 
Is Andrei Illarionov a reliable source in your opinion?",2.0
576319832800555008,576339955598942208,Both have proved their flexibility! @russian_market @ChristophHeer52 @L0gg0l,3.0
576319832800555008,576341114610929664,@russian_market @ChristophHeer52 @L0gg0l My money still #SecurityConcerns #Nemstov could have shaken security #DrEd,3.0
576319832800555008,576321555384401920,“@russian_market: Swiss Rumors:Putin absence due to girlfriendAlina giving birth http://t.co/RzXpRb0Sfl http://t.co/lzT16jrJap” @fancy_work,0.0
576319832800555008,576336711376056320,@russian_market @FerroTV @L0gg0l Welcome Sir!,3.0
576319832800555008,576336207203856385,"@russian_market @L0gg0l Given the state of Russian medical facilities, makes sense she would run to Switzerland. Not very patriotic, though.",3.0
521346721226711040,521352738891132929,"What? ""@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/GsEizhwaV7""",3.0
521346721226711040,521368022880378882,@LobittaT @FootballcomEN my family are not african. Denied.,3.0
521346721226711040,521349366037356544,"@FootballcomEN if it is unconfirmed, why do you tweet it?",2.0
521346721226711040,521350130851921921,@FootballcomEN MEU DEUS OLHA ISSO @MikellySuarez,3.0
521346721226711040,521349434719076352,"Stop it! Hope you get Ebola, you utter twat “@FootballcomEN: Unconfirmed reports claim Essien has contracted Ebola. http://t.co/8ZFTGNz86a”",3.0
521346721226711040,521371539082858496,@MikellySuarez @FootballcomEN ele tá com ebola,3.0
521346721226711040,521368940669583360,@AyyBant @FootballcomEN Fuck off. You're an attention seeking cunt.,3.0
521346721226711040,521364652522225665,"@FootballcomEN This is not funny, people are dying from this. You should be ashamed of yourself.",3.0
521346721226711040,521356252740608001,Umdlali webhola vele RT @FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/gqRDmeghVf”,3.0
521346721226711040,521355922724388865,@FootballcomEN how would someone start such a bizarre rumour about Essien?Human beings are heartless,1.0
521346721226711040,521356894343294976,Ok “@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/4njTb3xTKm”,3.0
